City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
194,Port Elizabeth,ZA,2021-03-07 21:15:13,-33.918,25.5701,68.0,88,90,9.22
195,Dong Hoi,VN,2021-03-07 21:15:18,17.4833,106.6,70.43,93,78,5.93
196,Nemuro,JP,2021-03-07 21:15:20,43.3236,145.575,26.08,88,0,16.15
197,Sioux Lookout,CA,2021-03-07 21:15:21,50.1001,-91.917,46.4,42,75,14.97
198,Sabang,ID,2021-03-07 21:15:22,5.8933,95.3214,81.9,76,91,8.72
199,Yenagoa,NG,2021-03-07 21:15:23,4.9247,6.2642,79.84,86,66,5.99
200,Mehamn,NO,2021-03-07 21:15:25,71.0357,27.8492,19.4,79,0,8.05
201,Portland,US,2021-03-07 21:15:18,45.5234,-122.6762,48.0,81,75,11.5
202,Hambantota,LK,2021-03-07 21:15:27,6.1241,81.1185,78.31,85,33,11.07
203,Smithers,CA,2021-03-07 21:15:09,54.7804,-127.1743,32.0,64,75,2.3
204,Arlit,NE,2021-03-07 21:15:30,18.7369,7.3853,82.15,14,62,5.5
205,Sao Jose Da Coroa Grande,BR,2021-03-07 21:15:31,-8.8978,-35.1478,79.92,76,0,9.4
206,Gizo,SB,2021-03-07 21:15:33,-8.103,156.8419,81.28,77,100,6.29
207,Phan Thiet,VN,2021-03-07 21:15:34,10.9333,108.1,71.37,72,28,7.38
208,Severo-Kurilsk,RU,2021-03-07 21:15:35,50.6789,156.125,15.13,91,95,25.99
209,Hobyo,SO,2021-03-07 21:15:37,5.3505,48.5268,78.33,79,41,16.58
210,Borogontsy,RU,2021-03-07 21:15:38,62.6683,131.1683,-19.68,86,100,9.82
211,Sao Filipe,CV,2021-03-07 21:15:39,14.8961,-24.4956,70.43,77,2,12.28
212,Chipinge,ZW,2021-03-07 21:15:40,-20.1883,32.6236,63.0,100,18,4.79
213,Ndele,CF,2021-03-07 21:15:42,8.4109,20.6473,78.13,18,0,2.57
214,Cururupu,BR,2021-03-07 21:15:43,-1.8283,-44.8683,76.37,93,100,3.11
215,Diamantino,BR,2021-03-07 21:15:44,-14.4086,-56.4461,75.31,91,94,1.54
216,Weihai,CN,2021-03-07 21:15:46,37.5017,122.1136,34.47,77,0,1.36
217,Caravelas,BR,2021-03-07 21:12:39,-17.7125,-39.2481,79.81,79,63,10.92
218,Bustamante,MX,2021-03-07 21:15:48,26.5333,-100.5,59.61,63,100,5.35
219,Khani,GE,2021-03-07 21:15:49,41.9563,42.9566,37.4,93,75,2.3
220,Tupik,RU,2021-03-07 21:15:50,54.4253,119.9327,6.19,92,44,4.94
221,Kirakira,SB,2021-03-07 21:14:55,-10.4544,161.9205,81.81,78,100,3.8
222,Dibulla,CO,2021-03-07 21:15:53,11.2725,-73.3091,81.88,74,83,5.46
223,Shimoda,JP,2021-03-07 21:15:54,34.6667,138.95,39.0,90,100,10.22
224,Hualmay,PE,2021-03-07 21:13:24,-11.0964,-77.6139,77.2,69,77,10.2
225,Terney,RU,2021-03-07 21:15:57,45.0503,136.6092,16.14,90,0,7.45
226,Vardo,NO,2021-03-07 21:15:58,70.3705,31.1107,24.8,68,75,9.22
227,Provideniya,RU,2021-03-07 21:16:00,64.3833,-173.3,31.89,98,100,19.44
228,Talnakh,RU,2021-03-07 21:13:22,69.4865,88.3972,-10.7,89,100,6.33
