City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Bama,NG,69.75,broken clouds,11.5221,13.6856,UN Humanitarian Hub
392,Kelo,TD,77.22,clear sky,9.3086,15.8066,Plantation de Kelo
393,Itarema,BR,78.35,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
394,Manakara,MG,73.13,few clouds,-22.1333,48.0167,La Residence Manakara
401,Mazatlan,MX,80.6,few clouds,23.2167,-106.4167,Hotel Club Playamar
402,Rio Grande,BR,72.0,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
405,Ambilobe,MG,74.52,heavy intensity rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
406,Tete,MZ,71.6,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
411,Palmira,CO,78.8,scattered clouds,3.5394,-76.3036,Hotel Las Victorias
412,Cairns,AU,84.2,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
415,San Felipe,VE,72.19,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
416,Adelanto,US,66.99,overcast clouds,34.5828,-117.4092,Days Inn Adelanto-Victorville
417,Byron Bay,AU,78.8,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
