City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Governador Valadares,BR,2021-03-07 23:46:55,-18.8511,-41.9494,74.05,83,99,1.28,overcast clouds
117,Litovko,RU,2021-03-07 23:46:56,49.2361,135.1742,7.23,91,0,2.73,clear sky
118,Sechura,PE,2021-03-07 23:46:56,-5.5569,-80.8222,80.8,60,83,14.36,broken clouds
119,Calama,CL,2021-03-07 23:46:57,-22.4667,-68.9333,69.8,32,0,18.41,clear sky
120,Butaritari,KI,2021-03-07 23:46:57,3.0707,172.7902,80.74,79,0,10.49,clear sky
121,Chara,RU,2021-03-07 23:46:58,56.9064,118.2631,10.0,89,74,2.37,broken clouds
122,Arman,RU,2021-03-07 23:46:58,59.7,150.1667,-5.1,77,0,3.67,clear sky
123,Puerto Ayacucho,VE,2021-03-07 23:46:59,5.6639,-67.6236,81.95,73,92,4.92,overcast clouds
124,San Patricio,US,2021-03-07 23:46:59,28.017,-97.5169,66.2,39,40,20.71,scattered clouds
125,Formosa,AR,2021-03-07 23:47:00,-26.1775,-58.1781,82.4,61,0,4.61,clear sky
126,Chuy,UY,2021-03-07 23:47:00,-33.6971,-53.4616,67.95,88,17,8.12,few clouds
127,Airai,TL,2021-03-07 23:47:00,-8.9266,125.4092,67.77,90,28,1.32,scattered clouds
128,Yellowknife,CA,2021-03-07 23:47:01,62.456,-114.3525,12.2,62,75,18.41,snow
129,Bartica,GY,2021-03-07 23:47:01,6.4,-58.6167,78.8,83,20,6.91,few clouds
130,Souillac,MU,2021-03-07 23:47:02,-20.5167,57.5167,77.0,88,40,4.61,light rain
131,General Roca,AR,2021-03-07 23:47:02,-39.0333,-67.5833,82.4,28,0,12.66,clear sky
132,Mbandaka,CD,2021-03-07 23:47:03,0.0487,18.2603,73.18,93,100,5.21,overcast clouds
133,Constitucion,CL,2021-03-07 23:47:03,-35.3333,-72.4167,64.11,82,8,15.95,clear sky
134,Ahipara,NZ,2021-03-07 23:47:04,-35.1667,173.1667,68.27,58,69,12.08,broken clouds
135,Balkhash,KZ,2021-03-07 23:47:04,46.844,74.9804,23.83,95,72,5.93,broken clouds
136,Ouango,CF,2021-03-07 23:47:05,4.3133,22.5552,72.07,85,98,3.06,overcast clouds
137,Otane,NZ,2021-03-07 23:47:05,-39.8833,176.6333,66.99,70,83,4.0,broken clouds
138,Lebu,CL,2021-03-07 23:47:06,-37.6167,-73.65,59.5,90,59,14.03,broken clouds
139,Banmankhi,IN,2021-03-07 23:47:06,25.8833,87.1833,61.32,60,0,7.31,clear sky
140,Beringovskiy,RU,2021-03-07 23:47:06,63.05,179.3167,19.92,91,50,25.46,scattered clouds
141,Portland,US,2021-03-07 23:44:29,45.5234,-122.6762,50.0,61,75,12.66,light rain
142,Arlit,NE,2021-03-07 23:47:07,18.7369,7.3853,80.29,15,62,10.85,broken clouds
143,Lazaro Cardenas,MX,2021-03-07 23:47:08,17.9583,-102.2,80.38,69,3,10.22,clear sky
144,Hornepayne,CA,2021-03-07 23:47:08,49.2138,-84.7705,20.68,95,72,11.12,broken clouds
145,Kahului,US,2021-03-07 23:47:09,20.8947,-156.47,80.6,54,40,25.32,scattered clouds
146,Fonseca,CO,2021-03-07 23:47:09,10.8861,-72.8487,80.6,68,52,5.93,broken clouds
147,Kabo,CF,2021-03-07 23:47:10,7.6994,18.629,76.55,19,56,3.49,broken clouds
148,Ambulu,ID,2021-03-07 23:47:10,-8.345,113.6058,77.72,81,98,2.64,overcast clouds
149,Leningradskiy,RU,2021-03-07 23:47:10,69.3833,178.4167,-12.48,87,100,1.05,light snow
150,Mount Isa,AU,2021-03-07 23:43:21,-20.7333,139.5,84.2,61,45,16.11,scattered clouds
151,Conroe,US,2021-03-07 23:43:57,30.3119,-95.456,68.0,22,1,10.36,clear sky
152,Visnes,NO,2021-03-07 23:47:11,59.3556,5.2242,28.4,74,90,8.05,overcast clouds
153,Togur,RU,2021-03-07 23:47:12,58.3631,82.8265,13.78,96,100,13.94,light snow
154,Necochea,AR,2021-03-07 23:47:13,-38.5473,-58.7368,68.0,94,56,5.01,moderate rain
155,Sweetwater,US,2021-03-07 23:47:13,25.7634,-80.3731,73.4,49,20,6.91,few clouds
156,Vangaindrano,MG,2021-03-07 23:47:13,-23.35,47.6,72.3,86,31,7.02,scattered clouds
157,Amlagora,IN,2021-03-07 23:47:14,22.8333,87.3333,63.66,53,1,3.44,clear sky
158,Prachuap Khiri Khan,TH,2021-03-07 23:44:30,12.2167,99.75,78.8,73,20,5.75,few clouds
159,Ribeira Grande,PT,2021-03-07 23:47:14,38.5167,-28.7,61.7,94,98,9.69,overcast clouds
160,Bulawayo,ZW,2021-03-07 23:47:15,-20.15,28.5833,61.84,77,0,3.58,clear sky
161,Basoko,CD,2021-03-07 23:47:15,1.2391,23.616,71.22,89,98,6.87,overcast clouds
162,Krasnoselkup,RU,2021-03-07 23:47:16,65.7,82.4667,-11.49,90,79,4.74,broken clouds
163,Atar,MR,2021-03-07 23:47:16,20.5169,-13.0499,65.26,29,0,10.4,clear sky
164,Merauke,ID,2021-03-07 23:47:16,-8.4667,140.3333,81.05,81,28,5.35,scattered clouds
